Date,PandL,ProfitableTradeCount,LossTradeCount,AccuracyPercentage
2022-09-27,-93.06428571428614,0,3,0.0
2022-09-28,-93.37499999999955,0,3,0.0
2022-09-29,-49.339285714285325,0,1,0.0
2022-09-30,-48.26071428571413,1,1,50.0
2022-10-04,199.1785714285711,6,1,85.71428571428571
2022-10-06,-30.660714285713766,1,3,25.0
2022-10-07,17.121428571428623,1,0,100.0
2022-10-10,-10.207142857142571,1,1,50.0
2022-10-11,-17.42142857142835,0,1,0.0
2022-10-12,17.414285714285597,1,0,100.0
2022-10-13,-26.882142857142757,0,1,0.0
2022-10-17,-23.49285714285679,2,3,40.0
2022-10-18,60.87142857142862,2,0,100.0
2022-10-20,-38.03571428571422,0,1,0.0
2022-10-24,-13.099999999999907,0,2,0.0
2022-10-27,33.057142857142935,2,0,100.0
2022-10-28,2.100000000000364,1,0,100.0
2022-10-31,8.889285714285961,3,4,42.857142857142854
2022-11-01,-7.457142857142571,2,1,66.66666666666666
2022-11-02,-34.25357142857138,0,2,0.0
2022-11-03,-1.0642857142856847,1,1,50.0
2022-11-04,34.5,4,2,66.66666666666666
2022-11-07,63.10714285714266,2,0,100.0
2022-11-09,-81.93214285714248,1,2,33.33333333333333
2022-11-10,36.74285714285679,2,0,100.0
2022-11-15,14.414285714285597,3,1,75.0
2022-11-16,-11.835714285713948,1,1,50.0
